,n_samples,rule,kmin,kmax,t_ensemble,type_mat,t_build,n_assocs,max_assoc,t_sl,accuracy,round
0,500,sqrt,12,23,0.38426709175109863,False,0.08894705772399902,53868,"(158, 1)",,,0
1,500,sqrt,12,23,0.3518838882446289,False,0.0038750171661376953,82946,"(173, 2)",,,1
2,500,sqrt,12,23,0.34084010124206543,False,0.003777027130126953,41340,"(86, 2)",,,2
3,500,sqrt,12,23,0.3446178436279297,False,0.0038518905639648438,67808,"(166, 0)",,,3
4,500,sqrt,12,23,0.34244608879089355,False,0.0039179325103759766,82946,"(173, 2)",,,4
5,500,2sqrt,24,46,0.4511220455169678,False,0.0034568309783935547,39722,"(86, 2)",,,0
6,500,2sqrt,24,46,0.4473440647125244,False,0.0036041736602783203,41340,"(86, 2)",,,1
7,500,2sqrt,24,46,0.4472649097442627,False,0.003453969955444336,40516,"(86, 2)",,,2
8,500,2sqrt,24,46,0.44142794609069824,False,0.0034401416778564453,39442,"(86, 2)",,,3
9,500,2sqrt,24,46,0.4467799663543701,False,0.0035028457641601562,53106,"(166, 0)",,,4
10,500,"sk=sqrt/2,th=30%",46,60,0.5465760231018066,False,0.003905057907104492,31374,"(86, 15)",,,0
11,500,"sk=sqrt/2,th=30%",46,60,0.551084041595459,False,0.003994941711425781,27828,"(84, 148)",,,1
12,500,"sk=sqrt/2,th=30%",46,60,0.5480489730834961,False,0.0038890838623046875,31538,"(86, 214)",,,2
13,500,"sk=sqrt/2,th=30%",46,60,0.5530049800872803,False,0.003990888595581055,28218,"(85, 287)",,,3
14,500,"sk=sqrt/2,th=30%",46,60,0.5470840930938721,False,0.003856182098388672,25718,"(84, 305)",,,4
15,500,"sk=300,th=30%",2,3,0.2513558864593506,False,0.015457868576049805,230258,"(499, 4)",,,0
16,500,"sk=300,th=30%",2,3,0.25148606300354004,False,0.015390157699584961,238702,"(499, 2)",,,1
17,500,"sk=300,th=30%",2,3,0.2516520023345947,False,0.015527009963989258,218052,"(499, 1)",,,2
18,500,"sk=300,th=30%",2,3,0.2512850761413574,False,0.01544189453125,240194,"(499, 1)",,,3
19,500,"sk=300,th=30%",2,3,0.2513389587402344,False,0.015545129776000977,238518,"(499, 2)",,,4
20,1000,sqrt,16,32,0.46079587936401367,False,0.010212898254394531,215840,"(314, 4)",,,0
21,1000,sqrt,16,32,0.4541618824005127,False,0.010457992553710938,215840,"(314, 4)",,,1
22,1000,sqrt,16,32,0.4574298858642578,False,0.009958028793334961,215840,"(314, 4)",,,2
23,1000,sqrt,16,32,0.45485591888427734,False,0.010185956954956055,166340,"(180, 3)",,,3
24,1000,sqrt,16,32,0.45776915550231934,False,0.010184049606323242,166340,"(180, 3)",,,4
25,1000,2sqrt,32,64,0.6152911186218262,False,0.00730586051940918,146956,"(180, 574)",,,0
26,1000,2sqrt,32,64,0.6232869625091553,False,0.007259845733642578,130646,"(180, 126)",,,1
27,1000,2sqrt,32,64,0.612633228302002,False,0.00772404670715332,138508,"(174, 961)",,,2
28,1000,2sqrt,32,64,0.615380048751831,False,0.00722503662109375,141424,"(180, 126)",,,3
29,1000,2sqrt,32,64,0.6233978271484375,False,0.007175922393798828,135822,"(176, 102)",,,4
30,1000,"sk=sqrt/2,th=30%",67,87,0.7986910343170166,False,0.007134914398193359,80464,"(130, 491)",,,0
31,1000,"sk=sqrt/2,th=30%",67,87,0.7958469390869141,False,0.007097005844116211,80234,"(137, 39)",,,1
32,1000,"sk=sqrt/2,th=30%",67,87,0.7964169979095459,False,0.007194995880126953,79542,"(131, 913)",,,2
33,1000,"sk=sqrt/2,th=30%",67,87,0.7926950454711914,False,0.0070819854736328125,81162,"(132, 310)",,,3
34,1000,"sk=sqrt/2,th=30%",67,87,0.7897610664367676,False,0.007071018218994141,80958,"(133, 81)",,,4
35,1000,"sk=300,th=30%",4,5,0.3274848461151123,False,0.0369720458984375,546432,"(653, 2)",,,0
36,1000,"sk=300,th=30%",4,5,0.32759904861450195,False,0.036743879318237305,546432,"(653, 2)",,,1
37,1000,"sk=300,th=30%",4,5,0.327409029006958,False,0.03634190559387207,547092,"(655, 3)",,,2
38,1000,"sk=300,th=30%",4,5,0.32735109329223633,False,0.03673100471496582,546432,"(653, 2)",,,3
39,1000,"sk=300,th=30%",4,5,0.3276097774505615,False,0.037307024002075195,546432,"(653, 2)",,,4
40,5000,sqrt,36,71,1.000412940979004,False,0.33974218368530273,3412478,"(875, 117)",,,0
41,5000,sqrt,36,71,0.9900319576263428,False,0.33936619758605957,3191054,"(875, 3)",,,1
42,5000,sqrt,36,71,0.994365930557251,False,0.3374619483947754,3071372,"(875, 123)",,,2
43,5000,sqrt,36,71,1.0061590671539307,False,0.3346889019012451,3507578,"(875, 2940)",,,3
44,5000,sqrt,36,71,0.9927220344543457,False,0.33913087844848633,3339612,"(875, 3)",,,4
45,5000,2sqrt,72,142,1.63018798828125,False,0.19193792343139648,1694066,"(597, 2508)",,,0
46,5000,2sqrt,72,142,1.591304063796997,False,0.19655680656433105,1671472,"(564, 4105)",,,1
47,5000,2sqrt,72,142,1.633551836013794,False,0.19056200981140137,1636414,"(580, 3305)",,,2
48,5000,2sqrt,72,142,1.668287992477417,False,0.18665480613708496,1559804,"(514, 568)",,,3
49,5000,2sqrt,72,142,1.6388890743255615,False,0.1900489330291748,1604300,"(513, 701)",,,4
50,5000,"sk=sqrt/2,th=30%",143,186,2.3284709453582764,False,0.1223750114440918,945274,"(330, 2451)",,,0
51,5000,"sk=sqrt/2,th=30%",143,186,2.3090031147003174,False,0.12333512306213379,949802,"(288, 3352)",,,1
52,5000,"sk=sqrt/2,th=30%",143,186,2.3323450088500977,False,0.12138009071350098,942348,"(314, 2207)",,,2
53,5000,"sk=sqrt/2,th=30%",143,186,2.311969041824341,False,0.12235093116760254,941016,"(302, 2528)",,,3
54,5000,"sk=sqrt/2,th=30%",143,186,2.3175699710845947,False,0.12268805503845215,944524,"(317, 721)",,,4
55,5000,"sk=300,th=30%",17,22,0.59676194190979,False,0.6596460342407227,6894552,"(1679, 1)",,,0
56,5000,"sk=300,th=30%",17,22,0.5957949161529541,False,0.667741060256958,4165644,"(875, 3)",,,1
57,5000,"sk=300,th=30%",17,22,0.5984160900115967,False,0.6628379821777344,5602284,"(1695, 3)",,,2
58,5000,"sk=300,th=30%",17,22,0.5973248481750488,False,0.6575820446014404,5602284,"(1695, 3)",,,3
59,5000,"sk=300,th=30%",17,22,0.5951981544494629,False,0.665194034576416,5486730,"(1695, 1381)",,,4
60,10000,sqrt,50,100,1.9151699542999268,False,1.1211090087890625,8863464,"(1545, 2808)",,,0
61,10000,sqrt,50,100,1.9196069240570068,False,1.1279370784759521,9365186,"(1627, 9989)",,,1
62,10000,sqrt,50,100,1.9841620922088623,False,1.0804078578948975,8611196,"(1629, 1147)",,,2
63,10000,sqrt,50,100,1.9301080703735352,False,1.1203019618988037,9125488,"(1564, 3386)",,,3
64,10000,sqrt,50,100,1.9534120559692383,False,1.1133999824523926,9452902,"(1643, 8061)",,,4
65,10000,2sqrt,100,200,3.248478889465332,False,0.6697189807891846,4773730,"(913, 4458)",,,0
66,10000,2sqrt,100,200,3.290771961212158,False,0.6609940528869629,4649464,"(805, 923)",,,1
67,10000,2sqrt,100,200,3.271466016769409,False,0.6667060852050781,4799996,"(832, 3699)",,,2
68,10000,2sqrt,100,200,3.311275005340576,False,0.6565670967102051,4557724,"(773, 4039)",,,3
69,10000,2sqrt,100,200,3.2840678691864014,False,0.6635298728942871,4729234,"(855, 8260)",,,4
70,10000,"sk=sqrt/2,th=30%",200,260,4.775540113449097,False,0.4455242156982422,2694900,"(403, 9658)",,,0
71,10000,"sk=sqrt/2,th=30%",200,260,4.708928823471069,False,0.4534170627593994,2768640,"(456, 9204)",,,1
72,10000,"sk=sqrt/2,th=30%",200,260,4.686147928237915,False,0.45447492599487305,2764078,"(478, 3119)",,,2
73,10000,"sk=sqrt/2,th=30%",200,260,4.710571050643921,False,0.45209813117980957,2737302,"(430, 4374)",,,3
74,10000,"sk=sqrt/2,th=30%",200,260,4.682388067245483,False,0.45267605781555176,2703326,"(459, 5178)",,,4
75,10000,"sk=300,th=30%",34,44,1.2621841430664062,False,1.749466896057129,15441378,"(1708, 173)",,,0
76,10000,"sk=300,th=30%",34,44,1.2624831199645996,False,1.736684799194336,16123316,"(1708, 7)",,,1
77,10000,"sk=300,th=30%",34,44,1.2655861377716064,False,1.7338330745697021,16120832,"(1708, 7)",,,2
78,10000,"sk=300,th=30%",34,44,1.2635369300842285,False,1.732231855392456,14978388,"(1708, 173)",,,3
79,10000,"sk=300,th=30%",34,44,1.2613441944122314,False,1.7232139110565186,15658226,"(1708, 7)",,,4
80,25000,sqrt,80,159,5.4634480476379395,False,5.212562084197998,37862780,"(2706, 9847)",,,0
81,25000,sqrt,80,159,5.347746133804321,False,5.312707185745239,38405794,"(2806, 13879)",,,1
82,25000,sqrt,80,159,5.382642984390259,False,5.253396987915039,36764656,"(2668, 15911)",,,2
83,25000,sqrt,80,159,5.492419004440308,False,5.1543238162994385,37895534,"(2813, 10079)",,,3
84,25000,sqrt,80,159,5.5312440395355225,False,5.1122729778289795,36155904,"(2659, 7418)",,,4
85,25000,2sqrt,160,318,9.930055141448975,False,2.8740549087524414,18063226,"(1161, 8826)",,,0
86,25000,2sqrt,160,318,9.93147087097168,False,2.8789000511169434,18129380,"(1246, 5703)",,,1
87,25000,2sqrt,160,318,9.640285015106201,False,2.949995994567871,18427946,"(1217, 21031)",,,2
88,25000,2sqrt,160,318,9.979554176330566,False,2.8635730743408203,18286272,"(1230, 1840)",,,3
89,25000,2sqrt,160,318,9.587510108947754,False,2.981165885925293,19149950,"(1331, 15769)",,,4
