,n_samples,rule,kmin,kmax,t_ensemble,biggest_cluster,type_mat,t_build,n_assocs,max_assoc,t_sl,accuracy,round
0,500,sqrt,12,23,0.4046649932861328,167,False,0.0887901782989502,67808,"(166, 0)",,,0
1,500,sqrt,12,23,0.3830888271331787,87,False,0.0038411617279052734,41340,"(86, 2)",,,1
2,500,sqrt,12,23,0.34696197509765625,174,False,0.0039598941802978516,88706,"(245, 15)",,,2
3,500,sqrt,12,23,0.3457667827606201,167,False,0.0039520263671875,67808,"(166, 0)",,,3
4,500,sqrt,12,23,0.3464038372039795,174,False,0.0039598941802978516,70418,"(173, 2)",,,4
5,500,2sqrt,24,46,0.4493730068206787,87,False,0.0035610198974609375,41232,"(86, 2)",,,0
6,500,2sqrt,24,46,0.4485900402069092,87,False,0.0035889148712158203,41340,"(86, 2)",,,1
7,500,2sqrt,24,46,0.4512970447540283,167,False,0.0036308765411376953,55280,"(166, 0)",,,2
8,500,2sqrt,24,46,0.44981908798217773,87,False,0.0036089420318603516,40358,"(86, 2)",,,3
9,500,2sqrt,24,46,0.44663405418395996,87,False,0.003576993942260742,41340,"(86, 2)",,,4
10,500,"sk=sqrt/2,th=30%",46,60,0.5489439964294434,85,False,0.004014015197753906,29810,"(84, 0)",,,0
11,500,"sk=sqrt/2,th=30%",46,60,0.5529658794403076,87,False,0.004106998443603516,30088,"(86, 15)",,,1
12,500,"sk=sqrt/2,th=30%",46,60,0.5544509887695312,61,False,0.004046916961669922,27022,"(85, 414)",,,2
13,500,"sk=sqrt/2,th=30%",46,60,0.5584399700164795,46,False,0.004077911376953125,26974,"(86, 283)",,,3
14,500,"sk=sqrt/2,th=30%",46,60,0.5562021732330322,87,False,0.004080057144165039,32084,"(86, 2)",,,4
15,500,"sk=300,th=30%",2,3,0.2561919689178467,333,False,0.015535116195678711,221032,"(499, 1)",,,0
16,500,"sk=300,th=30%",2,3,0.25710082054138184,333,False,0.015384912490844727,233392,"(499, 1)",,,1
17,500,"sk=300,th=30%",2,3,0.2564520835876465,333,False,0.015484809875488281,230300,"(499, 1)",,,2
18,500,"sk=300,th=30%",2,3,0.25602102279663086,333,False,0.015521049499511719,230586,"(499, 4)",,,3
19,500,"sk=300,th=30%",2,3,0.2562689781188965,333,False,0.015534162521362305,217310,"(499, 4)",,,4
20,1000,sqrt,16,32,0.4576268196105957,181,False,0.010551929473876953,166340,"(180, 3)",,,0
21,1000,sqrt,16,32,0.45626211166381836,339,False,0.010825872421264648,273036,"(338, 2)",,,1
22,1000,sqrt,16,32,0.46282100677490234,181,False,0.010256052017211914,166340,"(180, 3)",,,2
23,1000,sqrt,16,32,0.46794795989990234,339,False,0.01034402847290039,223536,"(338, 2)",,,3
24,1000,sqrt,16,32,0.462785005569458,181,False,0.010096073150634766,166340,"(180, 3)",,,4
25,1000,2sqrt,32,64,0.6170721054077148,158,False,0.007883071899414062,133956,"(180, 731)",,,0
26,1000,2sqrt,32,64,0.609285831451416,165,False,0.00761103630065918,145268,"(180, 126)",,,1
27,1000,2sqrt,32,64,0.6105539798736572,177,False,0.007570028305053711,144822,"(180, 255)",,,2
28,1000,2sqrt,32,64,0.6186990737915039,150,False,0.007472991943359375,129532,"(176, 102)",,,3
29,1000,2sqrt,32,64,0.6168110370635986,165,False,0.007528781890869141,146760,"(179, 951)",,,4
30,1000,"sk=sqrt/2,th=30%",67,87,0.7957348823547363,54,False,0.007388114929199219,78948,"(139, 81)",,,0
31,1000,"sk=sqrt/2,th=30%",67,87,0.7939729690551758,67,False,0.00814509391784668,81668,"(128, 548)",,,1
32,1000,"sk=sqrt/2,th=30%",67,87,0.8004441261291504,60,False,0.007393836975097656,77472,"(136, 81)",,,2
33,1000,"sk=sqrt/2,th=30%",67,87,0.7951390743255615,58,False,0.007404804229736328,80634,"(131, 259)",,,3
34,1000,"sk=sqrt/2,th=30%",67,87,0.7911338806152344,63,False,0.007472991943359375,81844,"(133, 279)",,,4
35,1000,"sk=300,th=30%",4,5,0.3332970142364502,654,False,0.036376953125,546432,"(653, 2)",,,0
36,1000,"sk=300,th=30%",4,5,0.33303189277648926,654,False,0.03715801239013672,546432,"(653, 2)",,,1
37,1000,"sk=300,th=30%",4,5,0.332841157913208,654,False,0.036210060119628906,546432,"(653, 2)",,,2
38,1000,"sk=300,th=30%",4,5,0.3324248790740967,654,False,0.03678107261657715,546432,"(653, 2)",,,3
39,1000,"sk=300,th=30%",4,5,0.3341069221496582,654,False,0.037960052490234375,659980,"(999, 3)",,,4
40,5000,sqrt,36,71,1.0096919536590576,532,False,0.3521440029144287,2855158,"(875, 123)",,,0
41,5000,sqrt,36,71,1.0284149646759033,791,False,0.3389921188354492,2989568,"(846, 453)",,,1
42,5000,sqrt,36,71,0.9972600936889648,791,False,0.345501184463501,3322862,"(875, 117)",,,2
43,5000,sqrt,36,71,1.0014779567718506,820,False,0.34558916091918945,3344052,"(875, 3355)",,,3
44,5000,sqrt,36,71,1.0123729705810547,876,False,0.3395810127258301,3272688,"(875, 3)",,,4
45,5000,2sqrt,72,142,1.6188030242919922,236,False,0.19966483116149902,1635698,"(557, 3177)",,,0
46,5000,2sqrt,72,142,1.6346030235290527,231,False,0.19611406326293945,1621408,"(552, 244)",,,1
47,5000,2sqrt,72,142,1.6433298587799072,230,False,0.19356489181518555,1611752,"(529, 1708)",,,2
48,5000,2sqrt,72,142,1.6731820106506348,277,False,0.19083499908447266,1603256,"(556, 3942)",,,3
49,5000,2sqrt,72,142,1.6983368396759033,247,False,0.1877610683441162,1612830,"(571, 156)",,,4
50,5000,"sk=sqrt/2,th=30%",143,186,2.3138601779937744,113,False,0.12697100639343262,954668,"(295, 2787)",,,0
51,5000,"sk=sqrt/2,th=30%",143,186,2.3293838500976562,128,False,0.12574100494384766,954694,"(325, 630)",,,1
52,5000,"sk=sqrt/2,th=30%",143,186,2.332986831665039,141,False,0.12642598152160645,961402,"(354, 4347)",,,2
53,5000,"sk=sqrt/2,th=30%",143,186,2.3114099502563477,111,False,0.126906156539917,959598,"(322, 206)",,,3
54,5000,"sk=sqrt/2,th=30%",143,186,2.3391940593719482,123,False,0.12509703636169434,944476,"(341, 747)",,,4
55,5000,"sk=300,th=30%",17,22,0.6030762195587158,876,False,0.6904110908508301,4165644,"(875, 3)",,,0
56,5000,"sk=300,th=30%",17,22,0.6010279655456543,1696,False,0.6988871097564697,7013386,"(1695, 3)",,,1
57,5000,"sk=300,th=30%",17,22,0.6025280952453613,876,False,0.6799311637878418,4165644,"(875, 3)",,,2
58,5000,"sk=300,th=30%",17,22,0.6016261577606201,1624,False,0.6835339069366455,5483450,"(1623, 0)",,,3
59,5000,"sk=300,th=30%",17,22,0.600938081741333,1696,False,0.6765439510345459,5602284,"(1695, 3)",,,4
60,10000,sqrt,50,100,1.938122034072876,1020,False,1.1408860683441162,9729866,"(1638, 169)",,,0
61,10000,sqrt,50,100,1.9035100936889648,708,False,1.1638109683990479,9567728,"(1646, 6543)",,,1
62,10000,sqrt,50,100,1.9131989479064941,867,False,1.1562728881835938,9409394,"(1618, 4870)",,,2
63,10000,sqrt,50,100,1.9419801235198975,928,False,1.1385819911956787,9592558,"(1640, 2908)",,,3
64,10000,sqrt,50,100,1.952566146850586,659,False,1.134876012802124,9025370,"(1677, 2423)",,,4
65,10000,2sqrt,100,200,3.2542929649353027,441,False,0.67917799949646,4835826,"(863, 3699)",,,0
66,10000,2sqrt,100,200,3.2841389179229736,369,False,0.6939888000488281,4968716,"(869, 3208)",,,1
67,10000,2sqrt,100,200,3.2892768383026123,324,False,0.6716799736022949,4691338,"(800, 9063)",,,2
68,10000,2sqrt,100,200,3.2250871658325195,320,False,0.6859688758850098,4817344,"(817, 6757)",,,3
69,10000,2sqrt,100,200,3.3683159351348877,334,False,0.6660377979278564,4744704,"(776, 2358)",,,4
70,10000,"sk=sqrt/2,th=30%",200,260,4.717036008834839,186,False,0.4655909538269043,2764286,"(441, 4824)",,,0
71,10000,"sk=sqrt/2,th=30%",200,260,4.729226112365723,203,False,0.45473599433898926,2756914,"(447, 1691)",,,1
72,10000,"sk=sqrt/2,th=30%",200,260,4.714998006820679,200,False,0.4566960334777832,2781748,"(438, 5259)",,,2
73,10000,"sk=sqrt/2,th=30%",200,260,4.7099080085754395,173,False,0.4555220603942871,2717608,"(411, 3146)",,,3
74,10000,"sk=sqrt/2,th=30%",200,260,4.765244007110596,163,False,0.4576539993286133,2676814,"(423, 6030)",,,4
75,10000,"sk=300,th=30%",34,44,1.2782480716705322,1709,False,1.748967170715332,16051726,"(1708, 7)",,,0
76,10000,"sk=300,th=30%",34,44,1.2746150493621826,1677,False,1.7477290630340576,15366504,"(1708, 90)",,,1
77,10000,"sk=300,th=30%",34,44,1.2701730728149414,1694,False,1.7759690284729004,15902222,"(1708, 173)",,,2
78,10000,"sk=300,th=30%",34,44,1.2786738872528076,1704,False,1.740713119506836,15096054,"(1708, 485)",,,3
