,Unnamed: 0,n_samples,rule,kmin,kmax,t_ensemble,t_build,t_sl,t_accuracy_CI,t_accuracy_H,t_sl_disk,t_store,t_accuracy_CI_disk,t_accuracy_H_disk,biggest_cluster,type_mat,n_assocs,n_max_degree,min_degree,max_degree,mean_degree,std_degree,accuracy_CI,accuracy_H,sl_clusts,accuracy_CI_disk,accuracy_H_disk,sl_clusts_disk,round,disk
0,0,500.0,sqrt,12.0,23.0,0.16718506813,0.16718506813,1.04586911201,0.00533103942871,,,,,,173.0,full,250000.0,0.0,500.0,500.0,500.0,0.0,0.842,,5.0,,,,0.0,False
1,1,500.0,sqrt,12.0,23.0,0.0042188167572,0.0042188167572,0.00580811500549,0.00349998474121,,,,,,173.0,full,250000.0,0.0,500.0,500.0,500.0,0.0,0.842,,5.0,,,,1.0,False
2,2,500.0,sqrt,12.0,23.0,0.00425219535828,0.00425219535828,0.00582098960876,0.00356292724609,,,,,,173.0,full,250000.0,0.0,500.0,500.0,500.0,0.0,0.842,,5.0,,,,2.0,False
3,3,500.0,sqrt,12.0,23.0,0.00420689582825,0.00420689582825,0.00579810142517,0.00358319282532,,,,,,173.0,full,250000.0,0.0,500.0,500.0,500.0,0.0,0.842,,5.0,,,,3.0,False
4,4,500.0,sqrt,12.0,23.0,0.00421214103699,0.00421214103699,0.00584006309509,0.00354099273682,,,,,,173.0,full,250000.0,0.0,500.0,500.0,500.0,0.0,0.842,,5.0,,,,4.0,False
5,5,500.0,sqrt,12.0,23.0,0.178776025772,0.178776025772,0.00557088851929,0.00355100631714,,,,,,173.0,full condensed,124750.0,0.0,0.0,499.0,249.5,144.337278622,0.842,,5.0,,,,0.0,False
6,6,500.0,sqrt,12.0,23.0,0.00359988212585,0.00359988212585,0.00563907623291,0.00362586975098,,,,,,173.0,full condensed,124750.0,0.0,0.0,499.0,249.5,144.337278622,0.842,,5.0,,,,1.0,False
7,7,500.0,sqrt,12.0,23.0,0.00370502471924,0.00370502471924,0.00566816329956,0.00360178947449,,,,,,173.0,full condensed,124750.0,0.0,0.0,499.0,249.5,144.337278622,0.842,,5.0,,,,2.0,False
8,8,500.0,sqrt,12.0,23.0,0.00363612174988,0.00363612174988,0.00566482543945,0.00357699394226,,,,,,173.0,full condensed,124750.0,0.0,0.0,499.0,249.5,144.337278622,0.842,,5.0,,,,3.0,False
9,9,500.0,sqrt,12.0,23.0,0.00361084938049,0.00361084938049,0.00567483901978,0.00354790687561,,,,,,173.0,full condensed,124750.0,0.0,0.0,499.0,249.5,144.337278622,0.842,,5.0,,,,4.0,False
10,10,500.0,sqrt,12.0,23.0,0.594190120697,0.594190120697,0.211465120316,0.00355696678162,,0.379434108734,0.145173072815,0.00367712974548,,173.0,sparse complete,82898.0,0.0,161.0,172.0,165.796,4.67272768306,0.842,,5.0,0.842,,5.0,0.0,False
11,11,500.0,sqrt,12.0,23.0,0.061977148056,0.061977148056,0.00378704071045,0.00353288650513,,0.255141019821,0.0374460220337,0.00358510017395,,173.0,sparse complete,82898.0,0.0,161.0,172.0,165.796,4.67272768306,0.842,,5.0,0.842,,5.0,1.0,False
12,12,500.0,sqrt,12.0,23.0,0.0578589439392,0.0578589439392,0.00377011299133,0.00355505943298,,0.254117965698,0.0373148918152,0.00359106063843,,173.0,sparse complete,82898.0,0.0,161.0,172.0,165.796,4.67272768306,0.842,,5.0,0.842,,5.0,2.0,False
13,13,500.0,sqrt,12.0,23.0,0.0619289875031,0.0619289875031,0.00375604629517,0.00357699394226,,0.254953145981,0.0373628139496,0.00364804267883,,173.0,sparse complete,82898.0,0.0,161.0,172.0,165.796,4.67272768306,0.842,,5.0,0.842,,5.0,3.0,False
14,14,500.0,sqrt,12.0,23.0,0.0578320026398,0.0578320026398,0.00377607345581,0.00354099273682,,0.266582965851,0.0372941493988,0.00361299514771,,173.0,sparse complete,82898.0,0.0,161.0,172.0,165.796,4.67272768306,0.842,,5.0,0.842,,5.0,4.0,False
15,15,500.0,sqrt,12.0,23.0,0.380270004272,0.380270004272,0.00210690498352,0.00351691246033,,0.180428028107,0.0367610454559,0.00360989570618,,173.0,sparse condensed const,41449.0,0.0,0.0,172.0,82.898,48.2245123977,0.842,,5.0,0.842,,5.0,0.0,False
16,16,500.0,sqrt,12.0,23.0,0.0400400161743,0.0400400161743,0.00212287902832,0.00355100631714,,0.2159678936,0.0362651348114,0.00360321998596,,173.0,sparse condensed const,41449.0,0.0,0.0,172.0,82.898,48.2245123977,0.842,,5.0,0.842,,5.0,1.0,False
17,17,500.0,sqrt,12.0,23.0,0.0401561260223,0.0401561260223,0.00210380554199,0.00351905822754,,0.219232082367,0.0362811088562,0.00368404388428,,173.0,sparse condensed const,41449.0,0.0,0.0,172.0,82.898,48.2245123977,0.842,,5.0,0.842,,5.0,2.0,False
18,18,500.0,sqrt,12.0,23.0,0.040048122406,0.040048122406,0.00211906433105,0.00356912612915,,0.215133190155,0.0363230705261,0.00359392166138,,173.0,sparse condensed const,41449.0,0.0,0.0,172.0,82.898,48.2245123977,0.842,,5.0,0.842,,5.0,3.0,False
19,19,500.0,sqrt,12.0,23.0,0.0401840209961,0.0401840209961,0.00210404396057,0.00356101989746,,0.215297937393,0.0363321304321,0.00360202789307,,173.0,sparse condensed const,41449.0,0.0,0.0,172.0,82.898,48.2245123977,0.842,,5.0,0.842,,5.0,4.0,False
20,20,500.0,sqrt,12.0,23.0,0.0952119827271,0.0952119827271,0.00213098526001,0.00350117683411,,0.209424972534,0.0363259315491,0.00357890129089,,173.0,sparse condensed linear,41449.0,0.0,0.0,172.0,82.898,48.2245123977,0.842,,5.0,0.842,,5.0,0.0,False
21,21,500.0,sqrt,12.0,23.0,0.0399339199066,0.0399339199066,0.00213098526001,0.00353908538818,,0.214296102524,0.0364789962769,0.00357699394226,,173.0,sparse condensed linear,41449.0,0.0,0.0,172.0,82.898,48.2245123977,0.842,,5.0,0.842,,5.0,1.0,False
22,22,500.0,sqrt,12.0,23.0,0.0398738384247,0.0398738384247,0.0021071434021,0.00356101989746,,0.213212966919,0.0363490581512,0.00357508659363,,173.0,sparse condensed linear,41449.0,0.0,0.0,172.0,82.898,48.2245123977,0.842,,5.0,0.842,,5.0,2.0,False
23,23,500.0,sqrt,12.0,23.0,0.0398859977722,0.0398859977722,0.00221395492554,0.00353288650513,,0.217925071716,0.0364148616791,0.00365114212036,,173.0,sparse condensed linear,41449.0,0.0,0.0,172.0,82.898,48.2245123977,0.842,,5.0,0.842,,5.0,3.0,False
24,24,500.0,sqrt,12.0,23.0,0.039783000946,0.039783000946,0.0021059513092,0.00354695320129,,0.216140031815,0.0364151000977,0.00367903709412,,173.0,sparse condensed linear,41449.0,0.0,0.0,172.0,82.898,48.2245123977,0.842,,5.0,0.842,,5.0,4.0,False
25,25,500.0,2sqrt,24.0,46.0,0.00354909896851,0.00354909896851,0.00582408905029,0.00352191925049,,,,,,93.0,full,250000.0,0.0,500.0,500.0,500.0,0.0,0.842,,5.0,,,,0.0,False
26,26,500.0,2sqrt,24.0,46.0,0.00396585464478,0.00396585464478,0.00589108467102,0.00354313850403,,,,,,93.0,full,250000.0,0.0,500.0,500.0,500.0,0.0,0.842,,5.0,,,,1.0,False
27,27,500.0,2sqrt,24.0,46.0,0.00398302078247,0.00398302078247,0.00593185424805,0.0035388469696,,,,,,93.0,full,250000.0,0.0,500.0,500.0,500.0,0.0,0.842,,5.0,,,,2.0,False
28,28,500.0,2sqrt,24.0,46.0,0.00397896766663,0.00397896766663,0.00597214698792,0.00362396240234,,,,,,93.0,full,250000.0,0.0,500.0,500.0,500.0,0.0,0.842,,5.0,,,,3.0,False
29,29,500.0,2sqrt,24.0,46.0,0.00395798683167,0.00395798683167,0.0058958530426,0.00350499153137,,,,,,93.0,full,250000.0,0.0,500.0,500.0,500.0,0.0,0.842,,5.0,,,,4.0,False
30,30,500.0,2sqrt,24.0,46.0,0.00381684303284,0.00381684303284,0.00574588775635,0.00355696678162,,,,,,93.0,full condensed,124750.0,1.0,0.0,499.0,249.5,144.337278622,0.842,,5.0,,,,0.0,False
31,31,500.0,2sqrt,24.0,46.0,0.00380301475525,0.00380301475525,0.00575709342957,0.00354099273682,,,,,,93.0,full condensed,124750.0,1.0,0.0,499.0,249.5,144.337278622,0.842,,5.0,,,,1.0,False
32,32,500.0,2sqrt,24.0,46.0,0.00380492210388,0.00380492210388,0.00579190254211,0.0035560131073,,,,,,93.0,full condensed,124750.0,1.0,0.0,499.0,249.5,144.337278622,0.842,,5.0,,,,2.0,False
