,n_samples,rule,kmin,kmax,t_ensemble,t_build,t_sl,t_accuracy_CI,t_accuracy_H,t_sl_disk,t_store,t_accuracy_CI_disk,t_accuracy_H_disk,biggest_cluster,type_mat,n_assocs,n_max_degree,min_degree,max_degree,mean_degree,std_degree,accuracy_CI,accuracy_H,sl_clusts,accuracy_CI_disk,accuracy_H_disk,sl_clusts_disk,round,disk
0,500,sqrt,12,23,0.1755080223083496,0.1755080223083496,1.0086841583251953,0.009238004684448242,,,,,,167,full,2191458,0,500,500,500.0,0.0,1.0,,6,,,,0,False
1,500,sqrt,12,23,0.0052759647369384766,0.0052759647369384766,0.0059130191802978516,0.004068851470947266,,,,,,167,full,2191458,0,500,500,500.0,0.0,1.0,,6,,,,1,False
2,500,sqrt,12,23,0.005254983901977539,0.005254983901977539,0.005967855453491211,0.004071950912475586,,,,,,167,full,2191458,0,500,500,500.0,0.0,1.0,,6,,,,2,False
3,500,sqrt,12,23,0.005261898040771484,0.005261898040771484,0.0059070587158203125,0.004040956497192383,,,,,,167,full,2191458,0,500,500,500.0,0.0,1.0,,6,,,,3,False
4,500,sqrt,12,23,0.005258798599243164,0.005258798599243164,0.00592494010925293,0.004067897796630859,,,,,,167,full,2191458,0,500,500,500.0,0.0,1.0,,6,,,,4,False
5,500,sqrt,12,23,0.18537616729736328,0.18537616729736328,0.005754947662353516,0.0040531158447265625,,,,,,167,full condensed,1095729,0,0,499,249.5,144.33727862198316,1.0,,6,,,,0,False
6,500,sqrt,12,23,0.0036339759826660156,0.0036339759826660156,0.005753040313720703,0.004158973693847656,,,,,,167,full condensed,1095729,0,0,499,249.5,144.33727862198316,1.0,,6,,,,1,False
7,500,sqrt,12,23,0.0036399364471435547,0.0036399364471435547,0.005792856216430664,0.004065990447998047,,,,,,167,full condensed,1095729,0,0,499,249.5,144.33727862198316,1.0,,6,,,,2,False
8,500,sqrt,12,23,0.003626108169555664,0.003626108169555664,0.005743980407714844,0.004019975662231445,,,,,,167,full condensed,1095729,0,0,499,249.5,144.33727862198316,1.0,,6,,,,3,False
9,500,sqrt,12,23,0.0036280155181884766,0.0036280155181884766,0.0057220458984375,0.004060029983520508,,,,,,167,full condensed,1095729,0,0,499,249.5,144.33727862198316,1.0,,6,,,,4,False
