dataset,param,mean,std,max,min
BAY,CPU,"0,0521","0,0001","0,05222","0,05196"
BAY,GPU,"0,0654","0,0017","0,07018","0,06459"
BAY,SpeedUp,"0,79708","0,02001","0,80849","0,74092"
BAY,Error,0,0,0,0
CAL,CPU,"0,32844","0,00108","0,32964","0,32646"
CAL,GPU,"0,20735","0,00081","0,20843","0,20614"
CAL,SpeedUp,"1,58402","0,00665","1,59419","1,57183"
CAL,Error,0,0,0,0
COL,CPU,"0,07045","0,00017","0,07071","0,07026"
COL,GPU,"0,07082","0,00085","0,07309","0,07015"
COL,SpeedUp,"0,99503","0,01087","1,00778","0,96748"
COL,Error,0,0,0,0
CTR,CPU,"3,76001","0,02664","3,8349","3,74697"
CTR,GPU,"1,80073","0,00124","1,80244","1,7991"
CTR,SpeedUp,"2,08805","0,01507","2,13035","2,07979"
CTR,Error,0,0,0,0
E,CPU,"0,64647","0,00045","0,64724","0,64562"
E,GPU,"0,35846","0,00112","0,36149","0,35767"
E,SpeedUp,"1,8035","0,00595","1,80958","1,78782"
E,Error,0,0,0,0
FLA,CPU,"0,17948","0,00047","0,18015","0,17842"
FLA,GPU,"0,1292","0,00082","0,13021","0,12731"
FLA,SpeedUp,"1,38924","0,00986","1,40913","1,37438"
FLA,Error,0,0,0,0
LKS,CPU,"0,49772","0,00139","0,49952","0,49538"
LKS,GPU,"0,29291","0,00277","0,29901","0,29013"
LKS,SpeedUp,"1,69939","0,01485","1,71335","1,66549"
LKS,Error,0,0,0,0
NE,CPU,"0,27123","0,00077","0,2721","0,26965"
NE,GPU,"0,17388","0,00054","0,17466","0,17309"
NE,SpeedUp,"1,55992","0,00626","1,56869","1,54832"
NE,Error,0,0,0,0
NW,CPU,"0,19497","0,00063","0,19657","0,19424"
NW,GPU,"0,13436","0,00044","0,13492","0,13365"
NW,SpeedUp,"1,45106","0,00499","1,45766","1,44357"
NW,Error,0,0,0,0
NY,CPU,"0,04789","0,00032","0,04871","0,04754"
NY,GPU,"0,06199","0,00162","0,06655","0,06104"
NY,SpeedUp,"0,77294","0,01966","0,79116","0,71899"
NY,Error,0,0,0,0
USA,CPU,,,,
USA,GPU,,,,
USA,SpeedUp,,,,
USA,Error,,,,
W,CPU,"1,12113","0,00129","1,12344","1,11872"
W,GPU,"0,57929","0,00354","0,58447","0,57348"
W,SpeedUp,"1,93543","0,0136","1,95691","1,91406"
W,Error,0,0,0,0
Coassoc 50k sk=sqrt_2 th=30%,CPU,2.23519,0.00269,2.23707,2.22775
Coassoc 50k sk=sqrt_2 th=30%,GPU,11.10442,0.01116,11.13339,11.09359
Coassoc 50k sk=sqrt_2 th=30%,SpeedUp,0.20129,0.00028,0.20161,0.20069
Coassoc 50k sk=sqrt_2 th=30%,Error,0,0,0,0
