,Unnamed: 0,cardinality,dimensionality,number of clusters,number of iterations,label mode,centroid mode,round,total time,label time,centroid time,cum_data_transfer,n_data_transfer,std_data_transfer,max_data_transfer,min_data_transfer,cum_centroids_transfer,n_centroids_transfer,std_centroids_transfer,max_centroids_transfer,min_centroids_transfer,cum_labels_transfer,n_labels_transfer,std_labels_transfer,max_labels_transfer,min_labels_transfer,cum_dists_transfer,n_dists_transfer,std_dists_transfer,max_dists_transfer,min_dists_transfer,cum_kernel,n_kernel,std_kernel,max_kernel,min_kernel
0,0,100.0,2.0,2.0,3.0,numba,numba,0.0,0.000262975692749,4.12464141846e-05,2.28881835938e-05,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,100.0,2.0,2.0,3.0,numba,numba,1.0,0.000227212905884,4.2200088501e-05,3.31401824951e-05,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,100.0,2.0,2.0,3.0,numba,numba,2.0,0.000253915786743,4.67300415039e-05,3.60012054443e-05,,,,,,,,,,,,,,,,,,,,,,,,,
3,3,100.0,2.0,2.0,3.0,cuda,numba,0.0,0.00187516212463,0.00165271759033,4.79221343994e-05,0.000273472011089,1.0,0.0,0.000273472011089,0.000273472011089,0.000306048005819,3.0,3.63365717054e-06,0.000105184003711,9.69280004501e-05,7.84960016608e-05,3.0,2.32381608652e-06,2.94400006533e-05,2.42880005389e-05,7.81119987369e-05,3.0,9.03712534929e-07,2.7295999229e-05,2.52160001546e-05,0.00039420799911,3.0,2.94079507157e-05,0.00017295999825,0.000109215997159
4,4,100.0,2.0,2.0,3.0,cuda,numba,1.0,0.00212001800537,0.00176811218262,4.29153442383e-05,0.000214144006371,1.0,0.0,0.000214144006371,0.000214144006371,0.000336704000831,3.0,9.21490297611e-06,0.000124704003334,0.00010271999985,7.43680000305e-05,3.0,1.11750807779e-06,2.63679996133e-05,2.39359997213e-05,7.62559995055e-05,3.0,3.99964855618e-07,2.59840004146e-05,2.51199994236e-05,0.000353504002094,3.0,1.46128554698e-05,0.000138495996594,0.000107136003673
5,5,100.0,2.0,2.0,3.0,cuda,numba,2.0,0.00179004669189,0.0014591217041,4.38690185547e-05,0.000202879995108,1.0,0.0,0.000202879995108,0.000202879995108,0.000299839995801,3.0,5.19027419069e-06,0.000103744000196,9.26079973578e-05,6.91200010478e-05,3.0,2.32230085168e-07,2.33600009233e-05,2.28160005063e-05,7.62879997492e-05,3.0,9.95035392506e-07,2.67520006746e-05,2.43519991636e-05,0.000326304003596,3.0,1.49341035671e-06,0.000110880002379,0.000107712000608
6,6,100.0,2.0,4.0,3.0,numba,numba,0.0,0.000339984893799,4.60147857666e-05,3.38554382324e-05,,,,,,,,,,,,,,,,,,,,,,,,,
7,7,100.0,2.0,4.0,3.0,numba,numba,1.0,0.000259876251221,5.79357147217e-05,3.40938568115e-05,,,,,,,,,,,,,,,,,,,,,,,,,
8,8,100.0,2.0,4.0,3.0,numba,numba,2.0,0.000257015228271,5.19752502441e-05,3.50475311279e-05,,,,,,,,,,,,,,,,,,,,,,,,,
9,9,100.0,2.0,4.0,3.0,cuda,numba,0.0,0.00196003913879,0.00173401832581,5.29289245605e-05,0.000222624003887,1.0,0.0,0.000222624003887,0.000222624003887,0.000304063998163,3.0,5.56507900892e-06,0.000105760000646,9.35039967299e-05,6.83839991689e-05,3.0,1.6216837833e-06,2.508799918e-05,2.16320008039e-05,8.41920003295e-05,3.0,2.58600072773e-06,3.17119993269e-05,2.60160006583e-05,0.000488768003881,3.0,6.8169189925e-05,0.000259328007698,0.000114463999867
10,10,100.0,2.0,4.0,3.0,cuda,numba,1.0,0.00177597999573,0.00146508216858,3.40938568115e-05,0.000196991994977,1.0,0.0,0.000196991994977,0.000196991994977,0.000305215999484,3.0,7.2849637613e-06,0.000110239997506,9.24480035901e-05,5.90719990432e-05,3.0,9.89184801322e-08,1.977599971e-05,1.9551999867e-05,7.41440020502e-05,3.0,2.93672444525e-07,2.50240005553e-05,2.43200007826e-05,0.000336800001562,3.0,2.07619307498e-06,0.000115199998021,0.000110688000917
11,11,100.0,2.0,4.0,3.0,cuda,numba,2.0,0.00179696083069,0.00148296356201,3.38554382324e-05,0.000192351996899,1.0,0.0,0.000192351996899,0.000192351996899,0.000300192005932,3.0,4.05083355638e-06,0.000103008002043,9.43360030651e-05,6.61760009825e-05,3.0,1.0419531881e-06,2.3423999548e-05,2.08960007876e-05,7.80480001122e-05,3.0,4.31703391494e-07,2.66239997e-05,2.56639998406e-05,0.000348159998655,3.0,3.54033887596e-06,0.000119327999651,0.000111135996878
12,12,100.0,2.0,8.0,3.0,numba,numba,0.0,0.000348091125488,5.12599945068e-05,3.40938568115e-05,,,,,,,,,,,,,,,,,,,,,,,,,
13,13,100.0,2.0,8.0,3.0,numba,numba,1.0,0.00025486946106,5.31673431396e-05,3.5285949707e-05,,,,,,,,,,,,,,,,,,,,,,,,,
14,14,100.0,2.0,8.0,3.0,numba,numba,2.0,0.000385046005249,5.81741333008e-05,3.38554382324e-05,,,,,,,,,,,,,,,,,,,,,,,,,
15,15,100.0,2.0,8.0,3.0,cuda,numba,0.0,0.00175714492798,0.00148630142212,4.6968460083e-05,0.000203551992774,1.0,0.0,0.000203551992774,0.000203551992774,0.000297600001097,3.0,6.12285428477e-06,0.00010483200103,9.06879976392e-05,4.01920005679e-05,3.0,1.09747506277e-06,1.49440001696e-05,1.25120002776e-05,7.59999994189e-05,3.0,1.04195447203e-06,2.67840009183e-05,2.43839994073e-05,0.000384320005774,3.0,1.44918309103e-05,0.000148576006293,0.000116991996765
16,16,100.0,2.0,8.0,3.0,cuda,numba,1.0,0.001788854599,0.00145483016968,4.38690185547e-05,0.000190144002438,1.0,0.0,0.000190144002438,0.000190144002438,0.000297728002071,3.0,5.12648471039e-06,0.000103872001171,9.20960009098e-05,4.04480006546e-05,3.0,1.05173545787e-06,1.49440001696e-05,1.25120002776e-05,7.39200003445e-05,3.0,2.82616812479e-07,2.50240005553e-05,2.43519991636e-05,0.000357663996518,3.0,2.76095608942e-06,0.000122975997627,0.00011641599983
17,17,100.0,2.0,8.0,3.0,cuda,numba,2.0,0.00180101394653,0.00147795677185,3.50475311279e-05,0.000202112004161,1.0,0.0,0.000202112004161,0.000202112004161,0.000303360000253,3.0,6.87655098893e-06,0.000108543999493,9.19679999352e-05,4.48320005089e-05,3.0,1.82895323202e-07,1.51040004566e-05,1.4688000083e-05,7.59680010378e-05,3.0,2.63014683619e-07,2.56639998406e-05,2.50240005553e-05,0.000357760004699,3.0,1.70479934152e-06,0.000121536001563,0.000117440000176
18,18,100.0,2.0,16.0,3.0,numba,numba,0.0,0.000364065170288,6.31809234619e-05,3.38554382324e-05,,,,,,,,,,,,,,,,,,,,,,,,,
19,19,100.0,2.0,16.0,3.0,numba,numba,1.0,0.000463962554932,6.07967376709e-05,3.71932983398e-05,,,,,,,,,,,,,,,,,,,,,,,,,
20,20,100.0,2.0,16.0,3.0,numba,numba,2.0,0.000256061553955,6.27040863037e-05,3.40938568115e-05,,,,,,,,,,,,,,,,,,,,,,,,,
21,21,100.0,2.0,16.0,3.0,cuda,numba,0.0,0.00178480148315,0.00155329704285,4.50611114502e-05,0.000209472000599,1.0,0.0,0.000209472000599,0.000209472000599,0.000299807995558,3.0,5.74510641434e-06,0.000104575999081,9.18399989605e-05,3.88799998909e-05,3.0,4.88109513858e-07,1.35040003806e-05,1.2319999747e-05,7.45279993862e-05,3.0,3.44980818711e-07,2.52160001546e-05,2.43839994073e-05,0.000435775995255,3.0,1.76285901439e-05,0.000170175999403,0.000132095992565
22,22,100.0,2.0,16.0,3.0,cuda,numba,1.0,0.00181293487549,0.00149726867676,3.60012054443e-05,0.000191264003515,1.0,0.0,0.000191264003515,0.000191264003515,0.000297407999635,3.0,5.05485211423e-06,0.00010307200253,9.20000001788e-05,3.97120006382e-05,3.0,1.43402187774e-06,1.52639998123e-05,1.21600003913e-05,7.55839999765e-05,3.0,8.15563737585e-07,2.63359993696e-05,2.44800001383e-05,0.000401408001781,3.0,3.92982004748e-06,0.000139359995723,0.000130976006389
23,23,100.0,2.0,16.0,3.0,cuda,numba,2.0,0.00353097915649,0.00321507453918,3.57627868652e-05,0.000192671999335,1.0,0.0,0.000192671999335,0.000192671999335,0.00184761595726,3.0,0.000721794647044,0.00163663995266,0.00010307200253,4.45440001786e-05,3.0,3.41666663345e-07,1.53280002996e-05,1.45600000396e-05,7.76639990509e-05,3.0,8.55463553049e-07,2.70399991423e-05,2.49920003116e-05,0.000457023993134,3.0,2.35271937716e-05,0.000185407996178,0.000132607996464
