,cardinality,dimensionality,number of clusters,number of iterations,label mode,centroid mode,round,total time,label time,centroid time,cum_data_transfer,n_data_transfer,std_data_transfer,max_data_transfer,min_data_transfer,cum_centroids_transfer,n_centroids_transfer,std_centroids_transfer,max_centroids_transfer,min_centroids_transfer,cum_labels_transfer,n_labels_transfer,std_labels_transfer,max_labels_transfer,min_labels_transfer,cum_dists_transfer,n_dists_transfer,std_dists_transfer,max_dists_transfer,min_dists_transfer,cum_kernel,n_kernel,std_kernel,max_kernel,min_kernel
0,100,2,2,3,numba,numba,0,0.5436830520629883,0.11375904083251953,0.4296402931213379,,,,,,,,,,,,,,,,,,,,,,,,,
1,100,2,2,3,numba,numba,1,0.0002620220184326172,5.7220458984375e-05,2.3126602172851562e-05,,,,,,,,,,,,,,,,,,,,,,,,,
2,100,2,2,3,numba,numba,2,0.00025010108947753906,5.7220458984375e-05,2.4080276489257812e-05,,,,,,,,,,,,,,,,,,,,,,,,,
3,100,2,2,3,numba,numba,3,0.00024008750915527344,5.316734313964844e-05,2.3126602172851562e-05,,,,,,,,,,,,,,,,,,,,,,,,,
4,100,2,2,3,numba,numba,4,0.00025391578674316406,5.984306335449219e-05,2.288818359375e-05,,,,,,,,,,,,,,,,,,,,,,,,,
5,100,2,2,3,numpy,numpy,0,0.0004889965057373047,0.00016498565673828125,0.0001678466796875,,,,,,,,,,,,,,,,,,,,,,,,,
6,100,2,2,3,numpy,numpy,1,0.0004630088806152344,0.0001590251922607422,0.0001480579376220703,,,,,,,,,,,,,,,,,,,,,,,,,
7,100,2,2,3,numpy,numpy,2,0.0004968643188476562,0.00017380714416503906,0.00015687942504882812,,,,,,,,,,,,,,,,,,,,,,,,,
8,100,2,2,3,numpy,numpy,3,0.0006279945373535156,0.0001659393310546875,0.00015616416931152344,,,,,,,,,,,,,,,,,,,,,,,,,
9,100,2,2,3,numpy,numpy,4,0.00044608116149902344,0.00014972686767578125,0.0001430511474609375,,,,,,,,,,,,,,,,,,,,,,,,,
10,100,2,2,3,cuda,numba,0,0.002110004425048828,0.0018711090087890625,5.412101745605469e-05,0.0003456000089645386,1,0.0,0.00034560000896453858,0.00034560000896453858,0.00030268800258636473,3,3.696519727949788e-06,0.00010473600029945373,9.5904000103473662e-05,6.393599975854158e-05,3,9.1643368682123537e-06,3.4272000193595885e-05,1.4751999638974667e-05,8.099200017750264e-05,3,1.3251589073357397e-06,2.8863999992609024e-05,2.5919999927282332e-05,0.0004617920070886612,3,4.5241712418533776e-05,0.0002178560048341751,0.00011964800208806991
