,cardinality,dimensionality,number of clusters,number of iterations,label mode,centroid mode,round,total time,label time,centroid time,cum_data_transfer,n_data_transfer,std_data_transfer,max_data_transfer,min_data_transfer,cum_centroids_transfer,n_centroids_transfer,std_centroids_transfer,max_centroids_transfer,min_centroids_transfer,cum_labels_transfer,n_labels_transfer,std_labels_transfer,max_labels_transfer,min_labels_transfer,cum_dists_transfer,n_dists_transfer,std_dists_transfer,max_dists_transfer,min_dists_transfer,cum_kernel,n_kernel,std_kernel,max_kernel,min_kernel
0,100,2,2,3,numba,numba,0,0.0005669593811035156,9.799003601074219e-05,4.00543212890625e-05,,,,,,,,,,,,,,,,,,,,,,,,,
1,100,2,2,3,numba,numba,1,0.0003750324249267578,7.915496826171875e-05,3.886222839355469e-05,,,,,,,,,,,,,,,,,,,,,,,,,
2,100,2,2,3,numba,numba,2,0.00037097930908203125,7.915496826171875e-05,3.886222839355469e-05,,,,,,,,,,,,,,,,,,,,,,,,,
3,100,2,2,3,numba,numba,3,0.0003750324249267578,7.915496826171875e-05,4.00543212890625e-05,,,,,,,,,,,,,,,,,,,,,,,,,
4,100,2,2,3,numba,numba,4,0.00037384033203125,7.891654968261719e-05,3.981590270996094e-05,,,,,,,,,,,,,,,,,,,,,,,,,
5,100,2,2,3,numpy,numpy,0,0.0008599758148193359,0.0003342628479003906,0.0002970695495605469,,,,,,,,,,,,,,,,,,,,,,,,,
6,100,2,2,3,numpy,numpy,1,0.0008268356323242188,0.00030994415283203125,0.0002849102020263672,,,,,,,,,,,,,,,,,,,,,,,,,
7,100,2,2,3,numpy,numpy,2,0.0011949539184570312,0.000308990478515625,0.0002830028533935547,,,,,,,,,,,,,,,,,,,,,,,,,
8,100,2,2,3,numpy,numpy,3,0.0008218288421630859,0.00030994415283203125,0.00028586387634277344,,,,,,,,,,,,,,,,,,,,,,,,,
9,100,2,2,3,numpy,numpy,4,0.0008249282836914062,0.00031113624572753906,0.0002880096435546875,,,,,,,,,,,,,,,,,,,,,,,,,
10,100,2,2,3,cuda,numba,0,0.003236055374145508,0.0029168128967285156,4.982948303222656e-05,0.0005907520055770875,1,0.0,0.00059075200557708746,0.00059075200557708746,0.0006895039947703481,3,0.00015269406147655446,0.00034406399726867674,1.4015999622642994e-05,8.080000057816505e-05,3,2.1755836132984099e-07,2.7232000604271888e-05,2.6720000430941583e-05,0.00010223999992012978,3,1.7697663048908865e-06,3.6575999110937119e-05,3.2671999186277391e-05,0.0004700479842722416,3,0.00019504078580167913,0.00043251198530197142,1.8751999363303185e-05
11,100,2,4,3,numba,numba,0,0.0005190372467041016,7.891654968261719e-05,3.814697265625e-05,,,,,,,,,,,,,,,,,,,,,,,,,
12,100,2,4,3,numba,numba,1,0.0003750324249267578,7.724761962890625e-05,3.814697265625e-05,,,,,,,,,,,,,,,,,,,,,,,,,
13,100,2,4,3,numba,numba,2,0.00039005279541015625,7.796287536621094e-05,5.1975250244140625e-05,,,,,,,,,,,,,,,,,,,,,,,,,
14,100,2,4,3,numba,numba,3,0.00037598609924316406,7.82012939453125e-05,3.910064697265625e-05,,,,,,,,,,,,,,,,,,,,,,,,,
15,100,2,4,3,numba,numba,4,0.0005280971527099609,7.891654968261719e-05,3.886222839355469e-05,,,,,,,,,,,,,,,,,,,,,,,,,
16,100,2,4,3,numpy,numpy,0,0.0008330345153808594,0.0003170967102050781,0.0002868175506591797,,,,,,,,,,,,,,,,,,,,,,,,,
17,100,2,4,3,numpy,numpy,1,0.000843048095703125,0.00033092498779296875,0.0002849102020263672,,,,,,,,,,,,,,,,,,,,,,,,,
18,100,2,4,3,numpy,numpy,2,0.000823974609375,0.0003120899200439453,0.00028395652770996094,,,,,,,,,,,,,,,,,,,,,,,,,
19,100,2,4,3,numpy,numpy,3,0.0008280277252197266,0.0003147125244140625,0.0002849102020263672,,,,,,,,,,,,,,,,,,,,,,,,,
20,100,2,4,3,numpy,numpy,4,0.0008280277252197266,0.0003120899200439453,0.00028705596923828125,,,,,,,,,,,,,,,,,,,,,,,,,
21,100,2,4,3,cuda,numba,0,0.003393888473510742,0.003072023391723633,5.125999450683594e-05,0.0005060799717903137,1,0.0,0.00050607997179031368,0.00050607997179031368,0.0007043520091101527,3,0.0001559060668017228,0.00034624001383781435,1.4303999952971935e-05,6.73280004411936e-05,3,3.6538272645745931e-06,2.7583999559283257e-05,1.9424000754952432e-05,0.00010220799967646599,3,1.6965715376681101e-06,3.6448001861572264e-05,3.2607998698949814e-05,0.0006052799709141254,3,0.00025883501073096951,0.00056780797243118281,1.8719999119639397e-05
22,100,2,8,3,numba,numba,0,0.0005319118499755859,8.273124694824219e-05,5.1021575927734375e-05,,,,,,,,,,,,,,,,,,,,,,,,,
23,100,2,8,3,numba,numba,1,0.00037217140197753906,7.796287536621094e-05,3.886222839355469e-05,,,,,,,,,,,,,,,,,,,,,,,,,
24,100,2,8,3,numba,numba,2,0.00037097930908203125,7.891654968261719e-05,3.910064697265625e-05,,,,,,,,,,,,,,,,,,,,,,,,,
25,100,2,8,3,numba,numba,3,0.0003879070281982422,7.915496826171875e-05,3.910064697265625e-05,,,,,,,,,,,,,,,,,,,,,,,,,
26,100,2,8,3,numba,numba,4,0.00037097930908203125,7.677078247070312e-05,3.886222839355469e-05,,,,,,,,,,,,,,,,,,,,,,,,,
27,100,2,8,3,numpy,numpy,0,0.0008289813995361328,0.0003120899200439453,0.000286102294921875,,,,,,,,,,,,,,,,,,,,,,,,,
28,100,2,8,3,numpy,numpy,1,0.0008258819580078125,0.00030994415283203125,0.0002849102020263672,,,,,,,,,,,,,,,,,,,,,,,,,
