running recursive scan test
sum_ref =  445698416
sum_gpu =  [445698416]
CPU took:     1.43504142761  ms
Kernel took:  2.29692459106  ms
True
         887060 function calls (836406 primitive calls) in 1.728 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 <string>:1(<module>)
        1    0.000    0.000    0.000    0.000 <string>:1(ArgInfo)
        1    0.000    0.000    0.000    0.000 <string>:1(ArgSpec)
        1    0.000    0.000    0.000    0.000 <string>:1(Arguments)
        1    0.000    0.000    0.000    0.000 <string>:1(Attribute)
        1    0.000    0.000    0.000    0.000 <string>:1(CompileResult)
        1    0.000    0.000    0.000    0.000 <string>:1(Extent)
        1    0.000    0.000    0.000    0.000 <string>:1(FuncAttr)
        1    0.000    0.000    0.000    0.000 <string>:1(FunctionAttributes)
        1    0.000    0.000    0.000    0.000 <string>:1(LibFunc)
        1    0.000    0.000    0.000    0.000 <string>:1(Loop)
        1    0.000    0.000    0.000    0.000 <string>:1(Match)
        1    0.000    0.000    0.000    0.000 <string>:1(Mismatch)
        1    0.000    0.000    0.000    0.000 <string>:1(ModuleInfo)
        1    0.000    0.000    0.000    0.000 <string>:1(Status)
        1    0.000    0.000    0.000    0.000 <string>:1(Traceback)
        1    0.000    0.000    0.000    0.000 <string>:1(_ArrayHelper)
        1    0.000    0.000    0.000    0.000 <string>:1(_ArrayIndexingHelper)
        1    0.000    0.000    0.000    0.000 <string>:1(_LowerResult)
        1    0.000    0.000    0.000    0.000 <string>:1(_UFuncLoopSpec)
        1    0.000    0.000    0.000    0.000 <string>:1(_VarArgItem)
        1    0.000    0.000    0.002    0.002 <string>:1(_init_anaconda_license_check)
        1    0.000    0.000    0.000    0.000 <string>:1(opcode_info)
        1    0.000    0.000    0.001    0.001 <string>:104(get_license_paths)
        1    0.000    0.000    0.001    0.001 <string>:109(find_licenses)
        1    0.000    0.000    0.002    0.002 <string>:114(filter_signatures)
        1    0.000    0.000    0.000    0.000 <string>:116(filter_vendor)
        1    0.000    0.000    0.000    0.000 <string>:118(filter_package)
        1    0.000    0.000    0.002    0.002 <string>:125(get_license)
        1    0.000    0.000    0.000    0.000 <string>:137(<lambda>)
        1    0.000    0.000    0.002    0.002 <string>:138(get_type_and_end_date)
        1    0.000    0.000    0.002    0.002 <string>:152(get_nag_msg)
        1    0.000    0.000    0.000    0.000 <string>:17(read_licenses)
        1    0.000    0.000    0.000    0.000 <string>:202(on_wakari)
        1    0.000    0.000    0.002    0.002 <string>:210(nag)
        1    0.000    0.000    0.001    0.001 <string>:31(crypt)
       17    0.000    0.000    0.000    0.000 <string>:45(<genexpr>)
        1    0.000    0.000    0.000    0.000 <string>:46(compute_digest)
       11    0.000    0.000    0.000    0.000 <string>:47(<genexpr>)
        1    0.000    0.000    0.002    0.002 <string>:50(verify_license)
        4    0.000    0.000    0.000    0.000 <string>:8(__new__)
        1    0.000    0.000    0.000    0.000 <string>:93(get_license_dirs)
    25152    0.053    0.000    0.075    0.000 StringIO.py:208(write)
     4199    0.008    0.000    0.011    0.000 StringIO.py:258(getvalue)
        1    0.000    0.000    0.000    0.000 StringIO.py:30(<module>)
    29351    0.006    0.000    0.006    0.000 StringIO.py:38(_complain_ifclosed)
        1    0.000    0.000    0.000    0.000 StringIO.py:42(StringIO)
     4199    0.008    0.000    0.010    0.000 StringIO.py:54(__init__)
       93    0.000    0.000    0.000    0.000 UserDict.py:18(__getitem__)
        1    0.000    0.000    0.000    0.000 UserDict.py:39(keys)
        2    0.000    0.000    0.000    0.000 UserDict.py:4(__init__)
       17    0.000    0.000    0.000    0.000 UserDict.py:58(get)
       21    0.000    0.000    0.000    0.000 UserDict.py:70(__contains__)
        1    0.000    0.000    0.000    0.000 __config__.py:3(<module>)
        1    0.000    0.000    0.000    0.000 __future__.py:48(<module>)
        1    0.000    0.000    0.000    0.000 __future__.py:74(_Feature)
        7    0.000    0.000    0.000    0.000 __future__.py:75(__init__)
       20    0.012    0.001    0.260    0.013 __init__.py:1(<module>)
        2    0.001    0.001    0.008    0.004 __init__.py:10(<module>)
       31    0.000    0.000    0.000    0.000 __init__.py:100(disallow_types)
        1    0.000    0.000    0.000    0.000 __init__.py:1008(Manager)
        4    0.000    0.000    0.000    0.000 __init__.py:101(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:1013(__init__)
        5    0.000    0.000    0.000    0.000 __init__.py:102(with_metaclass)
        2    0.000    0.000    0.000    0.000 __init__.py:1023(getLogger)
